name;price;info;link;Серия:;"Размер прямоугольного корпуса, мм:";"Наличие на складе г. Смоленск:";"Глубина щели, мм:";Комплектация:;Корпус:;"Материал корпуса:";"Напряжение питания, В:";"Принцип действия:";"Резьба разъема:";Соединение:;Тип:;"Тип выходного сигнала:";"Тип света:";"Функция переключения:";"Частота переключения, Гц:";"Ширина щели, мм:";"Число контактов, pin:";"Страна происхождения:";"Температура эксплуатации Max, °C:";"Температура эксплуатации Min, °C:";"Сертификат соответствия:";"Вес, грамм:";"Защита от переполюсовки:";Индикация:;"Степень защиты:";"Минимальный диаметр объекта, мм:";"Длина волны, нм:";Особенности:;"Температура эксплуатации, °C:";"Потребление тока, мА:";"Влажность окружающей среды:";"Время отклика, мс:";"Длина кабеля, м:";"Защита от короткого замыкания:";"Защита от перегрузок по току:";"Макс. ток нагрузки, А:";"Расстояние срабатывания, мм:";"Минимальный зазор между объектами, мм:";Подключение:;Применение:;"Источник излучения:";"Кодировка разъема:";"Ширина этикетки Min, мм:";"Зазор между этикетками Min, мм:";Настройка:;"Класс безопасности систем управления SIL:";"Материал кабеля:";"Электрическое исполнение:";"Минимальный размер объекта, мм:";"Расположение разъема:";"Коммуникационный интерфейс:";"Температура окружающей среды, °C:";Дисплей:;"Класс защиты:";"Класс лазера:";"Защита от перегрузки:";"Диаметр светового пятна Max, мм:";"Регулировка чувствительности:";Модель:;Исполнение:;"Индикация срабатывания:";Модификация:;"Материал линзы:";"Максимальная скорость ленты, м/мин:";"Количество лучей:";"Количество проводов и сечение:";"Глубина установки (со стороны), мм:";"наличие в общем:";"Напряжение питания DC, В:";"(при использовании вне взрывоопасной зоны)";"5-30 DC";Кабель;IP67;-40…+100;NAMUR;NC;3000;"Длина стороны 1, мм:";"Длина стороны 2, мм:";"Потребляемая мощность, Вт:";5000;"(IEC 60825-1 : 2007";"Длина кабеля, мм:";"Активная зона обнаружения, мм:";Монтаж:;"Светодиодный индикатор:";"Время срабатывания, мс:";"Ширина щели:";Питание:;"Способ подключения:";"Тип излучателя:";"Функция на выходе:";"Частота переключений:";"Размеры рамки, мм:";"Глубина щели:";"Оптическая особенность:";"Наименование элемента:";"s:151:""В комплектацию не входят: ответные разъемы для подключения в систему и аксессуары.";стекло;DC;Разъем;"оптический щелевой датчик для контроля кромки и ширины объекта";LED;"инфракрасный свет";"PNP NO, 4.. 20 мА, 0.. 10 В, RS 232, RS 422";"400 Гц";"Количество оптических осей:";"PNP NO, 4.. 20 мА, 0.. 10 В, RS 232, RS 422, RS 485";"50 Гц";"Минимальный размер распознаваемого объекта:";"Размер метки, мм:";"Количество жил:";"Оптическая ось:";"Точность, мм:";"Рабочий диапазон, мм:";"Аналоговый выход по напряжению, В:";"Ширина активной области:"
"Индуктивный щелевой датчик Pepperl Fuchs SJ15-A-5M";"21 561 руб.";"Серия:;SJ;Температура эксплуатации Max, °C:;70;Температура эксплуатации Min, °C:;-25;Длина кабеля, м:;5;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Корпус:;Щелевой;Материал кабеля:;PVC;Материал корпуса:;Пластик;Напряжение питания, В:;12-24 DC;Соединение:;Кабель;Степень защиты:;IP67;Температура эксплуатации, °C:;-25…+70;Тип выходного сигнала:;NPN;Функция переключения:;NO/NC;Частота переключения, Гц:;500;Ширина щели, мм:;15;Электрическое исполнение:;4-х проводный DC";https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_pepperl_fuchs_sj15_a_5m/;SJ;;;;;Щелевой;Пластик;"12-24 DC";;;Кабель;;NPN;;NO/NC;500;15;;;70;-25;;;да;;IP67;;;;-25…+70;;;;5;да;;;;;;;;;;;;;PVC;"4-х проводный DC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Индуктивный щелевой датчик СЕНСОР ВБИ-Щ06УР-1111-С";"6 941 руб.";"Страна происхождения:;Россия;Серия:;ВБИ;Температура эксплуатации Max, °C:;80;Температура эксплуатации Min, °C:;-45;Размер прямоугольного корпуса, мм:;18x26x28;Вес, грамм:;76;Длина кабеля, м:;2;Защита от короткого замыкания:;да;Защита от перегрузок по току:;да;Защита от переполюсовки:;да;Индикация:;есть;Корпус:;Щелевой;Макс. ток нагрузки, А:;0,5;Материал корпуса:;Пластмасса;Напряжение питания, В:;12-24 DC;Резьба разъема:;M12;Соединение:;Кабель с разъемом;Степень защиты:;IP67;Тип выходного сигнала:;PNP;Функция переключения:;NO;Частота переключения, Гц:;1000;Ширина щели, мм:;6";https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_sensor_vbi_shch06ur_1111_s/;ВБИ;18x26x28;;;;Щелевой;Пластмасса;"12-24 DC";;M12;"Кабель с разъемом";;PNP;;NO;1000;6;;Россия;80;-45;;76;да;есть;IP67;;;;;;;;2;да;да;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Banner SLM180B6QPMA";"68 500 руб.";"Число контактов, pin:;4;Серия:;SLM;Время отклика, мс:;0,5;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Глубина щели, мм:;120,7;Минимальный диаметр объекта, мм:;0,9;Материал корпуса:;Никелированный цинк;Напряжение питания, В:;12-24 DC;Настройка:;Потенциометр;Соединение:;Кабель с разъемом M12;Степень защиты:;IP67;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Функция переключения:;на свет/на затемнение;Ширина щели, мм:;180";https://sensoren.ru/product/shchelevoy_datchik_banner_slm180b6qpma/;SLM;;;120,7;;;"Никелированный цинк";"12-24 DC";;;"Кабель с разъемом M12";"Оптический вилочный";PNP/NPN;;"на свет/на затемнение";;180;4;;60;-20;;;;;IP67;0,9;;;-20…+60;;;0,5;;;;;;;;;;;;;Потенциометр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Индуктивный щелевой датчик Pepperl Fuchs SJ15-E2-4M";"50 769 руб.";"Серия:;SJ;Температура эксплуатации Max, °C:;70;Температура эксплуатации Min, °C:;-25;Длина кабеля, м:;4;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Корпус:;Щелевой;Материал кабеля:;PVC;Материал корпуса:;Пластик;Напряжение питания, В:;12-24 DC;Соединение:;Кабель;Степень защиты:;IP67;Температура эксплуатации, °C:;-25…+70;Тип выходного сигнала:;PNP;Функция переключения:;NO;Частота переключения, Гц:;500;Ширина щели, мм:;15;Электрическое исполнение:;3-х проводный DC";https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_pepperl_fuchs_sj15_e2_4m/;SJ;;;;;Щелевой;Пластик;"12-24 DC";;;Кабель;;PNP;;NO;500;15;;;70;-25;;;да;;IP67;;;;-25…+70;;;;4;да;;;;;;;;;;;;;PVC;"3-х проводный DC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Индуктивный щелевой датчик Pepperl Fuchs SC3,5-N0-Y98395";"9 328 руб.";"Серия:;SC;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-25;Длина кабеля, м:;0,17;Корпус:;Щелевой;Материал кабеля:;PVC;Материал корпуса:;Пластик;Напряжение питания, В:;5-30 DC;Соединение:;Кабель;Степень защиты:;IP67;Температура эксплуатации, °C:;-25…+100;Тип выходного сигнала:;NAMUR;Функция переключения:;NC;Частота переключения, Гц:;3000;Ширина щели, мм:;3,5;Электрическое исполнение:;2-х проводный DC";https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_pepperl_fuchs_sc3_5_n0_y98395/;SC;;;;;Щелевой;Пластик;"5-30 DC";;;Кабель;;NAMUR;;NC;3000;3,5;;;60;-25;;;;;IP67;;;;-25…+100;;;;0,17;;;;;;;;;;;;;;PVC;"2-х проводный DC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Banner SLM20N6Q";"47 500 руб.";"Число контактов, pin:;3;Серия:;SLM;Время отклика, мс:;0,5;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Глубина щели, мм:;60,8;Минимальный диаметр объекта, мм:;0,3;Материал корпуса:;Никелированный цинк;Напряжение питания, В:;12-24 DC;Настройка:;Потенциометр;Соединение:;Разъем M8;Степень защиты:;IP67;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;NPN;Функция переключения:;на свет/на затемнение;Ширина щели, мм:;20";https://sensoren.ru/product/shchelevoy_datchik_banner_slm20n6q/;SLM;;;60,8;;;"Никелированный цинк";"12-24 DC";;;"Разъем M8";"Оптический вилочный";NPN;;"на свет/на затемнение";;20;3;;60;-20;;;;;IP67;0,3;;;-20…+60;;;0,5;;;;;;;;;;;;;Потенциометр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Pepperl Fuchs GLP120-RT/40b/103/123/143";"47 811 руб.";"Серия:;GLP120;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Вес, грамм:;40;Глубина щели, мм:;54;Минимальный диаметр объекта, мм:;0,8;Напряжение питания, В:;12-24 DC;Подключение:;4 pin;Соединение:;Разъем M8;Степень защиты:;IP67;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP;Тип света:;красный;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;2000;Ширина щели, мм:;120";https://sensoren.ru/product/shchelevoy_datchik_pepperl_fuchs_glp120_rt_40b_103_123_143/;GLP120;;;54;;;;"12-24 DC";;;"Разъем M8";"Оптический вилочный";PNP;красный;"на свет/на затемнение";2000;120;;;60;-20;;40;;;IP67;0,8;;;-20…+60;;;;;;;;;;"4 pin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Pepperl Fuchs GL5-T/43a/155";"2 803 руб.";"Серия:;GL5;Минимальный диаметр объекта, мм:;1,8;Напряжение питания, В:;5-30 DC;Подключение:;4 pin;Степень защиты:;IP50;Тип:;Оптический вилочный;Тип выходного сигнала:;2xPNP;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Ширина щели, мм:;5";https://sensoren.ru/product/shchelevoy_datchik_pepperl_fuchs_gl5_t_43a_155/;GL5;;;;;;;"5-30 DC";;;;"Оптический вилочный";2xPNP;"инфракрасный свет";"на свет/на затемнение";;5;;;;;;;;;IP50;1,8;;;;;;;;;;;;;"4 pin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Pepperl Fuchs GL30-RT/32/40a/95";"32 715 руб.";"Серия:;GL30;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Вес, грамм:;60;Глубина щели, мм:;35;Минимальный диаметр объекта, мм:;0,3;Напряжение питания, В:;12-24 DC;Подключение:;4 pin;Соединение:;Разъем M8;Степень защиты:;IP67;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP;Тип света:;красный;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;3000;Ширина щели, мм:;30";https://sensoren.ru/product/shchelevoy_datchik_pepperl_fuchs_gl30_rt_32_40a_95/;GL30;;;35;;;;"12-24 DC";;;"Разъем M8";"Оптический вилочный";PNP;красный;"на свет/на затемнение";3000;30;;;60;-20;;60;;;IP67;0,3;;;-20…+60;;;;;;;;;;"4 pin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Индуктивный щелевой датчик Pepperl Fuchs SJ15-E2-V1-Y40122";"23 571 руб.";"Серия:;SJ;Температура эксплуатации Max, °C:;70;Температура эксплуатации Min, °C:;-25;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Корпус:;Щелевой;Материал корпуса:;Пластик;Монтаж:;незаподлицо;Напряжение питания, В:;12-24 DC;Резьба разъема:;M12;Соединение:;Разъем;Степень защиты:;IP67;Температура эксплуатации, °C:;-25…+70;Тип выходного сигнала:;PNP;Функция переключения:;NO;Частота переключения, Гц:;500;Ширина щели, мм:;15";https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_pepperl_fuchs_sj15_e2_v1_y40122/;SJ;;;;;Щелевой;Пластик;"12-24 DC";;M12;Разъем;;PNP;;NO;500;15;;;70;-25;;;да;;IP67;;;;-25…+70;;;;;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;незаподлицо;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик SICK WFL120-40B416";"66 710 руб.";"Класс лазера:;I;Страна происхождения:;Франция;Серия:;WFL;Источник излучения:;Лазер;Температура эксплуатации Max, °C:;50;Температура эксплуатации Min, °C:;-20;Размер прямоугольного корпуса, мм:;10x158,5x47;Глубина щели, мм:;42;Минимальный диаметр объекта, мм:;0,05;Длина волны, нм:;670;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Особенности:;Высокая точность и очень короткое время отклика;Подключение:;4 pin;Применение:;Распознавание мелких и прозрачных объектов;Соединение:;Разъем M8;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+50;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Тип света:;красный;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;120";https://sensoren.ru/product/shchelevoy_datchik_sick_wfl120_40b416/;WFL;10x158,5x47;;42;;;Алюминий;"12-24 DC";;;"Разъем M8";"Оптический вилочный";PNP/NPN;красный;"на свет/на затемнение";10000;120;;Франция;50;-20;;;;;IP65;0,05;670;"Высокая точность и очень короткое время отклика";-20…+50;;;;;;;;;;"4 pin";"Распознавание мелких и прозрачных объектов";Лазер;;;;;;;;;;;;;;I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик SICK WFM180-120N321";"30 320 руб.";"Страна происхождения:;Франция;Серия:;WFM;Источник излучения:;Светодиод;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-10;Размер прямоугольного корпуса, мм:;10x200x141,8;Вес, грамм:;170;Глубина щели, мм:;124;Минимальный диаметр объекта, мм:;1;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Особенности:;Режим Plug and play;Подключение:;3 pin;Применение:;Контроль наличия различных объектов;Принцип действия:;Оптический;Соединение:;Разъем M8;Степень защиты:;IP67;Температура эксплуатации, °C:;-10…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;NPN;Тип света:;красный;Функция переключения:;на затемнение;Частота переключения, Гц:;4000;Ширина щели, мм:;180";https://sensoren.ru/product/shchelevoy_datchik_sick_wfm180_120n321/;WFM;10x200x141,8;;124;;;Алюминий;"12-24 DC";Оптический;;"Разъем M8";"Оптический вилочный";NPN;красный;"на затемнение";4000;180;;Франция;60;-10;;170;;;IP67;1;;"Режим Plug and play";-10…+60;;;;;;;;;;"3 pin";"Контроль наличия различных объектов";Светодиод;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
